name,Company,Address,Link,Content,Update
資料工程師,英屬維京群島商博裕科技有限公司台灣分公司,台北市中山區樂群二路267號6樓之9,http://www.104.com.tw/job/?jobno=5e3w9&jobsource=n104bank1,1.資料庫系統建置維護(監控/備份/異常處理/效能調校)2.客製化報表產出/查詢3.資料庫物件開發與配合前端程式開發系統,2018-06-06
Data Engineer 資料工程師,國風傳媒有限公司,台北市內湖區洲子街107號2樓  (內湖科技園區),http://www.104.com.tw/job/?jobno=5z1tm&jobsource=n104bank1,「風傳媒集團」是一間從媒體、優質內容出發的網路科技公司。我們正努力以Data為核心的產品研發方向，在面對大量的使用者行為，及多變的媒體網路環境，使用ML、AI 、Mobile、Cloud等頂尖的專業技術，研發具有競爭力及創新的網路服務，歡迎對技術充滿熱情及創意的您，加入我們精英的行列。Data Engineer 資料工程師工作內容1. BigData資料蒐集、整理、儲存流程等程式系統開發2. 網頁、APP、社群的使用者行為追蹤，資料蒐集架構開發3. 與產品開發及資料團隊協作溝通，建立助於商務的資料分析4. 開發資料分析介面Data Visualization,2018-06-05
資料工程師,臺北直接貸金融科技股份有限公司,台北市中山區松江路318號7樓,http://www.104.com.tw/job/?jobno=5xf3t&jobsource=n104bank1,工作內容：1. 經濟數據與社群資料爬蟲、清理、儲存、分析。2. 交易模型建立。3. 與各部門協作資料應用；金融科技專題研究。 基本技能：Python熟悉套件：BeautifulSoup、Pandas、Numpy、Scipy熟悉框架：Django個性特徵：具備團隊默契，能夠建立良好溝通管道。加分項目：Scikit-learn、Machine Learning框架、網頁相關技術、資料ETL、NoSQL、MongoDB、統計模型、R、金融商品交易經驗。 公司簡介：開發金融科技P2P網路借貸平台，規劃區塊鏈應用。團隊著重開發效率，希望應徵者具備與後端工程師及設計師間的合作經驗。辦公室在農曆年前將裝潢打造舒適的工作環境。,2018-06-04
ETL資料工程師,緯德科技股份有限公司 (TechLink Corporation),台北市松山區敦化北路207號8F-13,http://www.104.com.tw/job/?jobno=5e9ei&jobsource=n104bank1,- 熟悉資料庫之SQL語法執行ETL資料轉換作業(ETL Job Developing、IBM DataStage、Informatica PowerCenter、Microsoft SSIS)實務經驗1年以上。- 熟悉資料庫安裝、設定及操作實務經驗1年以上。(Oracle、MS SQL Server、MySQL至少一種)- 具備Stored Procedure實務經驗1年以上尤佳。- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。- 配合公司專案需求至客戶端駐點服務。,2018-06-04
資料工程師(Kafka),緯德科技股份有限公司 (TechLink Corporation),台北市松山區敦化北路207號8F-13,http://www.104.com.tw/job/?jobno=5yeo5&jobsource=n104bank1,"- 分析銀行資料市集設計、開發、管理維護實務經驗1年以上。- 實作資料微服務元件 (使用Kafka, Java)。- 協助資料分析及探索過程中需要的資料收集與處理。- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。- 配合公司專案需求至客戶端駐點服務。",2018-06-04
61540-資料工程師(Intern),QNAP_威聯通科技股份有限公司,台北市大安區新生南路111號5樓,http://www.104.com.tw/job/?jobno=5zm9a&jobsource=n104bank1,1. 資料蒐集軟體開發2. 資料轉換與集成軟體開發3. 資料分析平台可靠性優化4. 資料報表設計,2018-06-05
資料工程師(數據工程師),育駿科技股份有限公司,台北市松山區南京東路3段248號16樓之2,http://www.104.com.tw/job/?jobno=4xp4q&jobsource=n104bank1,嗨！數理分析能力佳、對分析資料數據有極大的熱情、勇於提出自己的看法，我們要的就是你！歡迎你加入育駿這個大家庭。 ● 工作內容：1. 彙整內外部資料，進行數據分析，為管理層決策和各業務策略提供有質量的數據支持。2. 藉由統計分析方法，建立營運預測模型，作為商業決策參考。3. 設計、研發與驗證可大量運算、有效率之模型演算法用以預測消費者行為，並與軟體工程師合作將演算法撰寫至營運系統中。,2018-06-06
Data Engineer 資料工程師 (Bigdata),塞席爾商共識科技有限公司台灣分公司,台北市信義區信義路四段 (近捷運台北101/世貿站),http://www.104.com.tw/job/?jobno=68g4z&jobsource=n104bank1,"We are looking for an experienced Data Engineer, who can provide more advanced analysis of data to get valuable information. • 基於交易所交易模型，整合大數據分析流程，建立行銷專用產品，以服務內外團隊或客戶需求。• 蒐集並處理產業相關數據並獨立研究、探勘、分析，進行日常產業動態分析及監控 • 能獨立工作，並向營運長進行每日數據匯報，提供報表供各部門決策參考• 協助研發團隊、行銷團隊進行產品營運策略方向調整• 開發或使用工具來呈現資料分析結果 • 熟悉統計分析方法與資料探勘工具。Python、 R 語言等。 • 熟悉各式量化分析工具",2018-06-08
資料工程師 實習,臺北直接貸金融科技股份有限公司,台北市中山區松江路318號7樓,http://www.104.com.tw/job/?jobno=5xtea&jobsource=n104bank1,工作內容：社群資料與經濟數據資料爬蟲、清理、儲存、分析。基本技能：Python、R熟悉套件：BeautifulSoup、Pandas、Numpy個性特徵：具備團隊默契，能夠建立良好溝通管道。加分項目：Django、金融交易經驗、統計模型。 公司簡介：開發金融科技P2P網路借貸平台，規劃區塊鏈應用。團隊著重開發效率，希望應徵者具備與後端工程師及設計師間的合作經驗。辦公室在農曆年前將裝潢打造舒適的工作環境。,2018-06-04
資料工程師,治略資訊整合股份有限公司,台北市中正區忠孝東路二段25號3樓,http://www.104.com.tw/job/?jobno=4r2ix&jobsource=n104bank1,工作內容與職責：1.系統後端程式開發。2.分散式運算架構開發。3.巨量資料儲存。4.資料分析演算法開發。5.與網頁前端介接的Web API開發(以Python進行)。6.ETL功能、產品開發。7.以Solr和Elasticsearch等open source為中心開發全文搜尋功能。8.以Spark為中心開發Data Analysis系統功能。9.爬蟲系統的開發與維護。10.前端Web頁面開發。以上工作項目將依專長或希望的發展方向安排個人負責項目。,2018-06-06
SSIS 資料工程師(維運部),普鴻資訊股份有限公司,台北市大安區,http://www.104.com.tw/job/?jobno=66ors&jobsource=n104bank1,"* 駐點於金融客戶端工作1. 依照USER需求使用資料庫工具SSIS,SSRS執行資料整理與篩選及整合 主要條件：1. 具資料庫軟體應用程式語言操作能力(熟悉SQL指令與語法)2. 具資料庫工具操作能力(SSIS,SSRS)3. 兩年以上資料倉儲或資料庫工作經驗",2018-06-04
Data Engineer-Developer 資料工程師(程式開發),炬識科技股份有限公司,台北市大安區復興南路二段86號3樓之1,http://www.104.com.tw/job/?jobno=4hw9j&jobsource=n104bank1,"[能了解以下命題]1. 資料（data)是什麼？2. 程式（program）是什麼？3. 工程師是什麼？4. 產品是什麼？ [職責]導入串流或批次檔案數據，建構批次與即時的資料處理機制。以程式開發補足開源元件功能，搭建資料管線滿足資料使用者需求。 [專業技能]資料工程人員應具備建構分散式資料服務平台的能力。例如Hadoop, Spark與Kafka,。能夠提升迭代效率，信奉單元測試與框架型系統，有test-driven development與永續型系統的思維。 [基本要求]1. 有邏輯2. 能有邏輯地以口頭或書面表達",2018-06-07
資料工程研發工程師 (Python Engineer),大數據股份有限公司,台北市中山區民生東路二段,http://www.104.com.tw/job/?jobno=54ffa&jobsource=n104bank1,本公司為專業社群資料分析廠商，提供網路社群分析大數據平台《KEYPO大數據關鍵引擎》，網羅社群與媒體平台，透過人工智慧與機器學習在海量資料中洞察網路口碑，讓行銷與決策如虎添翼綜觀全局。推出粉專分析大數據平台《FANSDO粉絲行為追蹤器》，洞悉粉絲行為，透過大數據剖析粉專經營績效與最佳互動時機。 本職務專注於：開發分析系統，RESTful API，數據分析引擎與報告儀表。對資料科學、大數據分析、人工智慧有興趣者。 必要技能- 熟悉 Python 語法- 熟悉 MVC 的開發架構- 有 Django Framework 開發經驗- 熟 Mariadb- 有Falcon、Flask使用與開發經驗 加分技能：- 懂得 Web Server 運作，可以完整了解 Nginx- 熟悉推薦演算法、NLP(自然語言處理)、語意分析方法；熟悉Deep Learning演算法，具備Big Data 分析經驗尤佳。- 有在 Linux (Ubuntu)環境下開發的經驗，熟悉docker。- 熟悉至少一套容器調度工具，Docker Swarm或Kubernetes 尤佳- 有 RESTful API 的開發經驗- 熟悉Redis、Elasticsearch、MongoDB、ArangoDB、PostgreSQL尤佳- 熟悉 Git flow 開發流程- 了解前端技術佳- 良好的溝通及問題解決能力,2018-06-01
"社群資料工程師 (資料平台工程師, Java)",意藍資訊股份有限公司,台北市大安區信義路四段184號6樓,http://www.104.com.tw/job/?jobno=4w20m&jobsource=n104bank1,本公司為社群資料分析的專業領導廠商，提供全國規模最大的網路社群監測與分析平台《OpView社群口碑資料庫》，涵蓋台灣地區九成以上的社群媒體，在數十億筆的雲端資料庫內，即時精確地分析網路上的口碑聲量，是數位行銷時代重要的工具。因此，邀請想投入資料數據產業的各方好手加入，包括資料科學平台設計、深度語意分析、資料科學呈現及前台界面等工程人員。 本職務需熟悉程式開發，主要工作內容為：1 網路社群資料擷取及處理2 巨量資料儲存及分析3 分散式與叢集資料庫規劃、設計及維運 歡迎Java愛好者加入! (也有研發替代役職缺),2018-06-06
資料工程師,中華系統整合股份有限公司,台北市大安區,http://www.104.com.tw/job/?jobno=5xo8e&jobsource=n104bank1,LINUX及WINDOWS系統日常維運及障礙排除DELL、HP等X86伺服器使用iDRAC/iLO檢查系統狀況SNMP 監控系統操作(如NAGIOS、CACTI...等)網路設備日常維運及障礙排除突發障礙處理(下班時間及假日)制作簡報、工作文件長官交付事項,2018-06-07
